,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
163,53.7441,-175.0186,0.4198,1599755746,182,9,2.18,11.908,V,"volcanic (type A), one subnet only"
164,51.9498,-176.6211,7.8215,1599762067,183,5,-999,0.8987,V,"volcanic (type A), one subnet only"
165,51.9695,-176.6395,6.4883,1599762659,184,5,-999,0.2104,n,"noise, possibly volcanic"
167,52.0353,-176.4761,7.4189,1599770595,186,7,0.66,0.5882,V,"volcanic (type A), one subnet only"
168,52.0336,-176.2165,50.3971,1599776305,187,4,0.6,0.3852,n,LF noise (possibly volcanic @ Great Sitkin)
169,54.1447,-165.9148,0.0178,1599778829,188,13,0.58,0.3276,V,"volcanic (type A), one subnet only"
170,52.0957,-176.1795,5.0783,1599782404,189,8,0.68,0.2781,n,LF noise (possibly volcanic @ Great Sitkin)
171,52.1134,-176.201,0,1599784168,190,6,0.6,0.3557,n,LF noise (possibly volcanic @ Great Sitkin)
172,51.3803,-176.1082,13.4252,1599784446,191,9,2.13,0.4909,-,earthquake
173,52.1358,-176.1998,0,1599784300,192,5,0.67,0.4549,n,LF noise (possibly volcanic @ Great Sitkin)
174,52.1523,-176.1647,2.8994,1599787412,193,5,0.73,0.2889,n,LF noise (possibly volcanic @ Great Sitkin)
175,52.2241,-176.0838,0,1599788158,194,6,0.83,0.4368,n,LF noise (possibly volcanic @ Great Sitkin)
176,52.7631,-175.9044,44.569,1599788272,195,4,2.18,0.1074,n,LF noise (possibly volcanic @ Great Sitkin)
178,51.744,-175.4046,77.4087,1599790054,197,6,1.95,0.682,-,earthquake
179,52.667,-176.8889,34.8914,1599790065,198,5,1.87,0.7618,D,Duplicate of evid #197 (uses S-only and one poor P-pick)
180,52.1086,-176.0379,5.8075,1599790549,199,5,0.57,0.1322,n,LF noise (possibly volcanic @ Great Sitkin)
181,52.1386,-176.0139,6.3106,1599790677,200,5,0.65,0.2892,n,LF noise (possibly volcanic @ Great Sitkin)
182,52.5635,-172.2411,42.6464,1599793033,201,7,2.74,0.7064,-,earthquake
183,52.0937,-176.2695,1.5961,1599799559,202,7,2.6,0.3801,-,"earthquake — distant, picked incorrectly"
184,53.7004,-166.3304,2.2394,1599804039,203,10,0.71,0.8276,-,earthquake
185,51.6438,-175.9177,45.8137,1599811010,204,15,1.92,0.6067,-,earthquake
186,54.0184,-166.199,14.7701,1599815984,205,4,-999,0.2476,-,"earthquake — distant (sand point), 4x P-only location"
188,53.2369,-167.9022,43.1331,1599827246,207,5,-999,0.4641,-,earthquake
190,50.7016,-173.9521,34.1201,1599830238,211,7,2.43,0.8632,-,earthquake
192,52.0135,-166.2158,0.267,1599832403,213,11,2.22,8.143,-,earthquake
193,51.9202,-165.8467,22.4262,1599832486,214,5,-999,0.1212,-,earthquake — low SNR
194,53.9917,-165.0257,35.0396,1599833404,215,5,-999,0.2484,-,earthquake — low SNR
195,53.1406,-168.8092,4.6537,1599834462,216,11,2.11,0.8813,-,earthquake
197,52.1244,-174.5279,49.7262,1599845734,218,4,-999,0.1505,-,earthquake mixed with volcanic from another network (very poor location)
198,54.0322,-166.1623,0.1672,1599849694,219,15,0.24,5.2884,-,earthquake
199,51.7796,-177.5413,22.7233,1599850703,220,24,2.91,2.8803,-,"earthquake, missing many phases"
200,53.9909,-166.3704,8.8731,1599854727,223,6,-999,0.3074,-,"earthquake (very, very small), one subnet only"
202,51.5242,-176.0243,34.2955,1599855725,227,14,-999,1.528,-,"earthquake, burried in coda of preceddinge event"
203,50.9601,-175.6544,7.5468,1599855673,228,10,2.49,0.6333,D,Duplicate of matched evid #224 (mostly S-associations)
204,51.5939,-177.365,33.0675,1599858557,229,12,2.23,0.8081,-,earthquake
205,52.5109,-175.9663,36.7493,1599860080,231,6,1.95,1.0544,-,earthquake
206,52.4476,-174.0349,10.1158,1599860679,233,5,-999,0.964,V,"volcanic (type A), one subnet only"
207,53.6914,-167.2973,13.451,1599862880,234,6,-999,0.6537,-,earthquake
210,50.9291,-175.6563,0,1599867424,238,5,2.77,0.9026,D,Duplicate of matched evid #236 (S-only location)
211,52.6324,-166.0184,0.1165,1599879981,239,23,2.81,4.7264,-,earthquake
214,54.1843,-165.6712,43.6274,1599894475,242,13,0.65,2.7987,V,"volcanic (type a), one subnet only — Akutan"
218,54.2103,-165.7798,47.044,1599895966,246,11,0.71,2.8605,V,"volcanic (type a), one subnet only — Akutan"
219,54.2579,-165.7554,46.5756,1599896047,247,13,-999,2.9351,V,"volcanic (type a), one subnet only — Akutan"
220,54.1533,-165.9224,7.0462,1599896033,248,12,0.77,0.3813,V,"volcanic (type a), one subnet only — Akutan"
221,54.1331,-166.0575,50,1599896096,249,4,-999,-1,V,"volcanic (type a), one subnet only (very small) — Akutan"
222,54.1718,-166.0175,100,1599896691,250,12,1.3,4.9219,V,"volcanic (type a), one subnet only — Akutan"
223,52.9884,-167.3953,0.0143,1599896792,251,8,1.87,9.4545,V,"volcanic (type a), one subnet only — Akutan"
224,54.1581,-165.9614,0.0048,1599896871,252,6,-999,0.144,V,"volcanic (type a), one subnet only — Akutan"
