,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotated
1240,61.2382,-150.126,33.3301,1543646744,3596,13,-999,1.0398,-,earthquake — in coda of larger event
1249,61.4744,-149.8996,0.0142,1543646325,3610,11,2.14,0.6294,D,Duplicate of MATCHED evid #3576
1277,61.4027,-149.9617,34.1817,1543648842,3698,16,2.05,0.4301,-,"earthquake — small, blurs into another following event"
1284,61.442,-149.4249,0.0237,1543648643,3690,10,1.94,1.1829,-,"earthquake — small, blurs into another following event"
1294,61.5533,-149.8733,31.8352,1543649605,3745,11,1.38,0.7934,-,"earthquake — messy, noisy signal"
1300,61.1044,-149.7865,98.3339,1543649660,3757,6,-999,0.5078,D,Duplicate of MATCHED evid #3761
1311,61.0997,-149.8686,97.153,1543650271,3805,6,-999,1.5967,D,Duplicate of MATCHED evid #3830
1316,61.3772,-150.3191,19.425,1543650366,3817,6,-999,1.8289,-,earthquake — very small signal
1322,61.5699,-149.9111,35.9514,1543650509,3824,15,2.06,0.9006,D,Duplicate of MATCHED evid #3828
1326,61.4992,-149.2488,50,1543650784,3840,4,2.45,-1,-,earthquake — very small burried in middle of quick succession of three event
1335,61.3982,-150.1563,37.0528,1543650821,3875,7,2.52,0.6173,D,Duplicate of MATCHED evid #3842
1341,61.2655,-150.1299,28.4386,1543651624,3897,9,2.62,0.8718,D,Duplicate of MATCHED evid #3883
1381,61.3712,-150.0638,35.5176,1543653520,4020,25,2.15,0.5843,D,Duplicate of evid #4019 below
1386,61.4337,-150.1886,49.9251,1543653752,4035,7,-999,0.2396,-,earthquake — in coda of larger event
1391,61.3833,-150.1203,1.766,1543653884,4046,8,1.57,0.7932,-,earthquake
1396,61.29,-150.0107,12.6816,1543653512,4019,20,2.23,0.6845,-,earthquake (duplicated in evid #4020)
1397,61.5028,-150.0768,33.8089,1543654043,4060,11,1.73,0.8547,-,earthquake
1406,61.3815,-149.8836,0.0484,1543653961,4054,18,2.33,0.7167,D,Duplicate of MATCHED evid #4050
1442,61.3989,-150.117,35.9299,1543656337,4203,19,3.02,0.8355,D,Duplicate of MATCHED evid #4193
1444,61.4384,-150.121,35.8955,1543656714,4216,18,1.63,0.5187,-,earthquake
1446,61.4842,-149.9056,30,1543656673,4218,7,1.51,-1,-,earthquake — missing P/S detections where there is overlap from preceeding event
1450,61.4855,-149.9042,0.749,1543656993,4241,7,1.87,0.2148,-,earthquake
1454,61.5302,-149.3181,37.6212,1543657083,4248,8,1.48,1.545,n,looks like detections are being placed on S-phases
