,lat,lon,depth,time,evid,nass,ml,sdobs,etype
484,61.1907,-141.1919,3.1768,1666984933.35125,1089,15,2.21,0.9466,-
485,60.3863,-141.2484,9.0045,1666999131.37871,1090,5,-999.0,0.3042,-
487,60.9698,-142.4899,30.0,1667082891.71607,1092,4,-999.0,-1.0,-
488,60.6993,-140.4965,0.0393,1667094038.47541,1093,17,2.76,0.811,-
489,60.8155,-143.3713,18.6598,1667136919.84504,1094,4,-999.0,0.2471,-
491,61.129,-144.964,8.184,1667148523.50729,1096,14,2.67,0.7993,-
492,61.2228,-144.8346,11.8792,1667151031.5011,1097,13,2.52,0.9449,-
493,60.7599,-142.3102,35.0188,1667151049.61982,1098,5,-999.0,0.8482,-
498,60.9287,-144.7892,16.2358,1667240770.26444,1103,12,2.43,0.6761,-
499,60.5955,-144.6536,15.9626,1667258499.10299,1104,8,-999.0,0.8209,-
