,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotation
347,59.991,-142.9744,0.7055,1665340276,943,4,1.98,0.854,lf_G,low-frequency Glacial-quake
351,60.6715,-144.635,14.4587,1665417704,947,21,2.18,0.6933,-,regional earthquake (P-only location)
353,60.7012,-144.333,100,1665430544,950,15,1.98,1.8222,nT,teleseismic signal
354,60.1246,-138.4687,0.0109,1665445713,951,14,2.93,0.5449,-,regional earthquake (P-only location)
355,60.3369,-140.6332,29.2544,1665445731,952,12,2.32,0.81,D,duplicate of evid #951
358,60.8448,-138.7738,38.5575,1665475516,955,9,-999,1.1673,-,earthquake (P-only location)
363,59.6299,-142.4934,34.4274,1665527068,961,27,2.87,2.6259,D,duplicate of MATCHED evid #960
366,60.7518,-144.9486,8.7585,1665534100,965,4,2.38,0.8651,D,duplicate of MATCHED evid #963
367,60.1725,-144.9679,27.0608,1665563787,966,11,2.27,1.0162,-,regional earthquake (P-only location)
370,60.6318,-144.6607,20.9084,1665578234,969,16,1.83,0.6899,-,regional earthquake (P-only location)
372,60.9214,-140.8173,5.365,1665607848,972,6,-999,0.4913,D,duplicate of MATCHED evid #970
374,60.3751,-143.8611,100,1665700334,974,18,2.34,2.0153,nT,teleseismic signal
375,61.0027,-144.771,25.6341,1665704917,975,7,-999,0.9896,-,earthquake (P-only location)
376,60.5767,-144.6534,23.1815,1665735130,976,8,2.09,0.4265,-,earthquake (P-only location)
377,60.087,-142.5056,99.9876,1665742602,977,11,1.74,0.5604,nT,teleseismic signal
381,60.414,-143.5043,11.2967,1665760031,981,6,0.56,0.4063,-,earthquake (small)
384,60.2652,-141.2655,0,1665781914,984,5,-999,0.7745,-,earthquake
385,60.4624,-140.6422,38.862,1665782668,985,5,1.24,1.2124,nT,teleseismic signal
386,60.5778,-142.6136,40.7296,1665802423,986,4,1.04,0.3964,n,combined impulsive noise
389,60.5385,-144.3414,13.5957,1665816783,990,7,2.03,0.4525,-,regional earthquake (P-only location)
392,61.084,-144.7472,14.8123,1665831650,993,9,1.84,0.8299,-,earthquake (P-only location)
393,60.4877,-144.6871,21.8145,1665835721,994,18,2.15,0.7699,-,regional earthquake (P-only location)
394,60.631,-144.6281,15.939,1665838272,995,14,2.47,0.9628,-,earthquake (P-only location)
395,60.8038,-144.8021,0.0957,1665838750,996,12,2.49,0.8961,-,earthquake (P-only location)
397,60.6001,-143.2297,13.2633,1665902346,998,5,1.38,0.5917,D,duplicate of MATCHED evid #997
398,61.0433,-142.0531,0,1665909973,999,4,-999,1.0794,n,combined impulsive noise
403,60.8797,-144.5613,24.2305,1665993905,1004,4,-999,0.0079,-,earthquake (P-only location)
404,60.8236,-144.9111,16.3864,1665998380,1005,5,1.83,0.159,-,earthquake (P-only location)
407,61.2366,-141.4814,26.0056,1666025910,1008,8,1.83,0.4897,-,earthquake (P-only location)
410,59.9744,-141.3617,0.4247,1666048381,1011,5,1.83,0.3439,lf_G,low-frequency Glacial-quake
411,60.3181,-143.2922,25,1666052263,1012,4,0.82,-1,-,earthquake (small)
416,60.7426,-144.4354,1.1816,1666088708,1018,4,2.43,0.8112,D,duplicate of MATCHED evid #1017
419,61.0666,-144.0624,100,1666154802,1021,7,1.92,1.5195,nT,teleseismic signal
420,60.9528,-144.7335,27.9778,1666170066,1022,5,-999,0.2909,-,earthquake (P-only location)
422,60.4587,-141.6,3.5945,1666257588,1024,4,-999,0.0374,-,earthquake (small)
424,61.1441,-143.9417,0.2994,1666265700,1026,5,1.85,0.7454,-,regional earthquake
425,60.0652,-141.3556,99.9059,1666267679,1027,13,2.58,0.5968,nT,teleseismic signal
426,60.5239,-140.3557,7.833,1666267668,1028,7,3.31,0.5508,D,duplicate of evid #1027
427,59.8066,-138.3854,4.6429,1666267664,1029,4,3.19,0.6039,D,duplicate of evid #1027
429,60.703,-144.6387,18.2641,1666286535,1031,18,2.21,0.6078,-,regional earthquake (P-only location)
