,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
615,66.3072,-157.2104,8.8896,1550560515,2989,15,-999,0.8428,-,earthquake
619,66.2493,-157.2449,0.0364,1550571133,2993,8,-999,0.7252,-,"earthquake (in coda of preceeding, larger event)"
620,66.3287,-157.1871,7.8946,1550578714,2995,9,-999,0.2029,-,earthquake
621,66.3035,-157.2062,0.0129,1550580868,2996,12,-999,0.1648,-,earthquake
623,66.3248,-157.4081,57.4968,1550586300,2998,9,-999,0.6974,-,"earthquake — missing clear, impulsive phase arrivals at near source stations"
629,66.2654,-157.2204,9.0697,1550593278,3004,8,-999,0.784,-,earthquake
630,66.3088,-157.1748,10.9643,1550593366,3005,9,-999,0.3276,-,earthquake
631,66.2896,-157.1336,13.6823,1550594657,3006,8,-999,0.2577,-,earthquake (small)
632,66.2698,-157.3751,10.7471,1550595136,3007,10,-999,0.7717,-,earthquake
644,66.3045,-157.1834,10.3391,1550604360,3023,12,-999,0.4728,-,earthquake
645,66.3163,-157.1974,9.8149,1550612187,3024,14,-999,0.5082,-,earthquake
648,66.2447,-157.2276,11.6036,1550615878,3028,10,-999,0.5818,-,earthquake
655,66.2765,-157.2334,3.6197,1550631822,3038,7,-999,0.3801,-,"earthquake — missing clear, impulsive phase arrivals"
661,66.3,-157.201,13.2028,1550648666,3044,8,-999,0.4434,-,"earthquake — missing clear, impulsive phase arrivals"
664,66.2971,-157.1707,12.49,1550651349,3047,10,-999,0.2373,-,"earthquake — missing clear, impulsive phase arrivals"
666,66.3234,-157.1981,11.0092,1550658010,3049,5,-999,0.155,-,"earthquake (small, low SNR)"
667,66.311,-157.2101,8.5843,1550661675,3050,7,-999,0.2966,-,"earthquake (third event in quick succession, and only detected/located event)"
669,66.2981,-157.4593,3.1423,1550667212,3052,11,-999,0.9595,-,earthquake
680,66.3224,-157.1994,8.4521,1550679255,3065,6,-999,0.2871,-,"earthquake (small, low SNR)"
681,66.2785,-157.1823,5.578,1550679488,3066,7,-999,0.7919,-,earthquake
682,66.2248,-157.2029,0.4893,1550680484,3067,7,-999,0.6516,-,"earthquake (small, low SNR)"
683,66.2433,-157.2283,10.7974,1550683764,3068,11,-999,0.7191,-,earthquake
685,66.2012,-157.1481,12.543,1550691279,3070,8,-999,0.5756,-,earthquake
686,66.1974,-156.9088,11.4681,1550707675,3071,7,-999,0.8226,-,earthquake
688,66.3025,-157.1955,4.6676,1550722291,3073,10,-999,0.4023,-,earthquake
691,66.3016,-157.1771,14.4377,1550732362,3076,5,-999,0.1733,-,"earthquake (in coda of preceeding, larger event)"
692,66.5265,-157.2612,19.421,1550732733,3077,6,-999,0.6252,-,earthquake (low SNR)
701,66.0891,-157.196,0,1550745510,3090,7,-999,1.1381,-,"earthquake (low SNR, missing many detections)"
706,66.3392,-157.2045,8.9351,1550748056,3096,5,-999,0.6665,-,"earthquake (small, low SNR)"
709,66.2579,-157.2627,10.8236,1550752041,3099,7,-999,0.3807,-,earthquake
711,66.2092,-157.1974,8.7314,1550753315,3105,5,-999,0.371,-,earthquake
712,66.3255,-157.222,0.0185,1550753649,3106,6,-999,0.4468,-,"earthquake (small, low SNR)"
715,66.0865,-157.2033,0.1293,1550757876,3109,7,-999,0.9679,-,earthquake
719,66.3697,-157.1762,7.3932,1550763973,3113,5,-999,0.6293,-,"earthquake (small, low SNR)"
720,66.3144,-157.201,9.7462,1550775498,3114,7,-999,0.1418,-,earthquake
721,66.2153,-157.2131,0.0032,1550776397,3115,7,-999,0.6611,-,"earthquake — missing many clear, impulsive phase arrials at close stations"
722,66.2443,-157.2026,10.4429,1550780070,3116,11,-999,0.4477,-,earthquake
723,66.3243,-157.2135,12.2161,1550789853,3117,8,-999,0.5946,-,"earthquake (small, low SNR)"
724,66.3277,-157.2237,10.2215,1550791286,3118,12,-999,0.4595,-,earthquake
728,66.1839,-157.1749,7.1505,1550801647,3123,5,-999,0.4676,-,"earthquake (in coda of regional event, only one P-arrival)"
730,66.2667,-157.2464,11.5469,1550807495,3125,8,-999,0.8709,-,earthquake
731,66.3059,-157.1963,11.1601,1550812117,3126,6,-999,0.1535,-,earthquake (small)
739,66.2538,-157.2203,11.5023,1550821922,3134,7,-999,0.444,-,earthquake
752,66.3035,-157.2086,1.8984,1550835208,3148,14,-999,0.6815,-,earthquake
756,66.3064,-157.2025,10.5651,1550843584,3153,12,-999,0.5819,-,earthquake
757,66.3014,-157.2118,10.1221,1550849664,3154,12,-999,0.8078,-,earthquake
759,66.3315,-157.2426,10.028,1550850813,3158,13,-999,0.5044,-,earthquake
764,66.2553,-157.252,11.5815,1550863771,3163,5,-999,0.4942,-,"earthquake (small, first of a cluster of events, only first is detected)"
765,66.2724,-157.2631,0.4851,1550864408,3164,7,-999,0.8111,-,earthquake
767,66.2812,-157.2207,10.147,1550865992,3166,9,-999,0.6254,-,earthquake (small)
771,66.2375,-157.2361,13.282,1550873258,3172,11,-999,0.4447,-,earthquake
772,66.2314,-157.2003,8.803,1550876590,3173,7,-999,0.5029,-,earthquake (small)
774,66.224,-156.9525,20,1550877873,3175,6,-999,-1,-,earthquake
775,66.3306,-157.1766,8.8264,1550878269,3176,8,-999,0.4171,-,earthquake (small)
779,66.2562,-157.2449,12.5671,1550885151,3180,11,-999,0.5054,-,earthquake
780,66.3079,-157.2036,12.8594,1550885479,3181,11,-999,0.5638,-,earthquake
781,66.3405,-157.2202,9.769,1550900309,3183,9,-999,0.5985,-,"earthquake — missing clear, impulsive phase arrivals from near source stations"
790,66.329,-157.138,7.4007,1550912409,3193,8,-999,0.1775,-,earthquake (several unpromoted detections)
791,66.3146,-157.1709,8.3862,1550913017,3194,12,-999,0.5521,-,earthquake
796,66.3051,-157.2001,9.7129,1550927232,3201,8,-999,0.667,-,earthquake
799,66.0433,-157.1761,0.0182,1550930142,3204,6,-999,0.6995,-,"earthquake (directly in coda of preceeding, similar sized event)"
800,66.3231,-157.1954,11.1582,1550930522,3205,7,-999,0.2034,-,earthquake
804,66.3188,-157.1745,8.2342,1550933385,3210,14,-999,0.5648,-,earthquake
810,66.2889,-157.2067,10.6913,1550946059,3216,9,-999,0.689,-,earthquake (several unpromoted detections)
816,66.3202,-157.1697,15.1732,1550960231,3223,6,-999,0.1702,-,"earthquake — missing many clear, impulsive phase detections"
818,66.4363,-157.1903,0.7066,1550964248,3225,8,-999,1.0505,-,earthquake
819,66.0389,-157.1554,16.0324,1550964725,3226,6,-999,0.4538,-,earthquake (small)
822,66.2524,-157.2458,10.1435,1550993390,3229,9,-999,0.4426,-,earthquake
823,66.3304,-157.2252,5.5864,1550995837,3230,8,-999,0.1739,-,earthquake (several unpromoted detections)
824,66.1981,-157.3775,8.3693,1550999038,3231,6,-999,0.2483,-,earthquake (small)
825,66.2836,-157.3254,12.2796,1551016637,3232,6,-999,1.3547,-,earthquake (several unpromoted detections)
828,66.1739,-157.4327,0.3313,1551026759,3235,10,-999,0.7806,-,earthquake
830,66.2671,-157.2236,17.9257,1551037802,3237,8,-999,1.4967,-,earthquake (several unpromoted detections)
833,66.293,-157.188,11.2678,1551057258,3240,12,-999,0.3952,-,earthquake
834,66.3417,-157.216,7.8583,1551057869,3241,6,-999,0.5484,-,earthquake
837,66.315,-157.2085,8.8015,1551076362,3244,13,-999,0.6284,-,earthquake
840,66.2131,-157.1925,12.1244,1551083747,3247,9,-999,0.4933,-,earthquake
842,66.2382,-157.2047,10.5031,1551085970,3249,8,-999,0.2062,-,earthquake
843,66.2916,-157.1639,11.8954,1551089966,3251,15,-999,0.3146,-,earthquake
