,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
653,66.0016,-156.6688,30.515,1550832773,1877,4,-999,0.6177,D,same as evid #1876 (same telesismic signal)
660,66.2716,-157.2419,7.7547,1550850814,1885,7,-999,0.7265,-,earthquake
665,66.3309,-157.2199,10.5038,1550868693,1890,5,-999,0.8139,-,earthquake (smaller event in code of much larger event)
670,66.3034,-157.1741,7.1861,1550885479,1895,12,-999,0.3961,-,earthquake
710,66.6012,-158.1988,35.1679,1551055860,1943,5,-999,1.292,n,possibly decaying regional event (or teleseismic event)
719,66.3092,-157.2243,0.0075,1551089967,1954,9,-999,0.6478,-,earthquake
739,66.3198,-157.4482,35.2539,1551155696,1977,6,-999,0.978,-,"earthquake (directly follows similar, undetected event)"
748,66.3023,-157.201,0.0581,1551159784,1989,12,-999,0.594,-,earthquake
762,66.3347,-157.2162,4.0876,1551192532,2012,5,-999,0.4009,-,earthquake
774,66.3012,-157.192,9.3494,1551213025,2029,12,-999,0.4496,-,earthquake
784,66.2476,-157.2118,10.1026,1551232771,2040,8,-999,0.4724,-,earthquake
786,66.2347,-157.2182,9.3611,1551235637,2044,7,-999,0.535,-,earthquake (proceeds larger event)
551,66.3297,-157.228,0.0468,1550580868,1752,12,0.86,0.8823,-,earthquake
62,66.261,-158.4683,17.604,1549294265,1129,4,0.89,0.5394,D,second event on same teleseismic signal as evid #1128
349,66.3089,-157.0421,6.9791,1550033838,1504,8,0.89,0.259,-,earthquake
541,66.2799,-157.212,7.2318,1550535627,1739,6,0.91,0.3281,-,earthquake
424,66.3309,-157.2072,9.2785,1550236496,1593,12,0.93,0.5542,-,earthquake
78,66.2567,-157.2455,0.5587,1549317599,1145,13,0.95,0.78,-,real earthquake
407,66.2731,-158.5793,0.5983,1550203136,1572,5,0.95,1.2481,n,"real, small earthquake (G19K) combined with telesismic signal"
567,66.1857,-156.8685,11.4399,1550597327,1773,8,0.97,0.6051,-,earthquake
347,66.2836,-157.0548,9.5545,1550033057,1500,11,1.02,0.4016,-,earthquake
530,66.3485,-157.2292,9.1988,1550479461,1723,7,1.04,0.6202,-,earthquake
564,66.3366,-157.3027,8.7692,1550595186,1769,12,1.05,1.0639,-,earthquake
138,66.3119,-157.2042,7.3172,1549618457,1219,10,1.06,0.6785,-,earthquake
430,66.3294,-157.2211,0,1550245135,1600,7,1.06,0.5616,-,earthquake
824,66.2986,-157.1812,6.5106,1551362729,2097,11,1.06,0.4908,-,earthquake
147,66.348,-158.914,34.5864,1549630630,1229,4,1.08,0.1322,D,duplicate of MATCHED evid #1128
557,66.2749,-157.2364,12.7865,1550586298,1759,7,1.08,0.5919,-,earthquake
800,66.2989,-157.1846,9.6838,1551266417,2062,12,1.09,0.5587,-,earthquake
175,66.2697,-158.473,17.4114,1549725324,1261,4,1.1,0.5235,D,same signal as evid #1260
569,66.2839,-157.238,0.0646,1550598095,1775,8,1.1,0.4092,-,earthquake
223,66.2422,-157.2068,8.988,1549813888,1324,9,1.11,0.4608,-,"earthquake, proceeds larger event"
404,66.2358,-157.1974,8.6338,1550192674,1569,10,1.11,0.411,-,earthquake
54,66.2598,-158.474,31.8818,1549277457,1119,4,1.13,0.3937,D,same teleseismic signal as evid #1118
441,66.3118,-157.1914,7.2674,1550256180,1613,11,1.13,0.5111,-,earthquake
384,66.3049,-157.2335,12.9908,1550121402,1543,10,1.14,0.7866,-,earthquake
478,66.3541,-157.2048,1.7324,1550321399,1664,7,1.14,1.078,-,earthquake
691,66.3074,-157.2149,0.0607,1550942705,1921,14,1.14,0.7677,-,earthquake
745,66.3127,-157.1825,7.923,1551157018,1986,7,1.15,0.3292,-,earthquake
188,66.4659,-158.7563,16.1724,1549769593,1275,4,1.16,0.1988,D,smae signal as MATCHED evid #1274
764,66.3135,-157.2152,7.5111,1551196029,2015,11,1.16,0.6756,-,earthquake
376,65.8241,-157.3563,5.0412,1550100133,1535,5,1.17,0.9912,n,"teleseimic signal combined with real, very small earthquake (G19K)"
572,66.3206,-157.214,10.1118,1550603613,1780,10,1.17,0.6861,-,earthquake
634,66.3096,-157.2162,0.0522,1550816293,1852,10,1.17,0.4692,-,earthquake
666,66.2336,-157.1978,9.6282,1550877839,1891,8,1.17,0.3368,-,earthquake
576,66.2995,-157.1907,9.1605,1550620294,1784,11,1.18,0.4783,-,earthquake
771,66.2824,-157.1849,9.2499,1551208086,2025,7,1.18,0.9369,-,earthquake
792,66.2525,-157.2546,11.9337,1551256012,2051,9,1.18,0.7046,-,earthquake
40,66.1873,-158.3568,3.885,1549234766,1104,13,1.19,0.7396,-,"earthquake, proceeds larger event"
282,66.3187,-157.1939,9.885,1549861033,1415,9,1.19,0.923,-,earthquake
482,66.3031,-157.1819,7.0906,1550341062,1670,7,1.19,0.4304,-,earthquake
641,66.2984,-157.183,10.3863,1550823249,1861,11,1.19,0.6214,-,"earthquake (directly proceeds/slightly overlaps very similar, undetected event)"
769,66.2958,-157.1775,8.3306,1551203494,2023,11,1.19,0.2572,-,earthquake
166,66.1682,-158.2799,8.4639,1549691852,1251,10,1.2,0.5676,-,earthquake
421,66.345,-157.2102,1.9817,1550234513,1590,10,1.2,0.7319,-,earthquake
656,66.3193,-157.2177,7.7478,1550842038,1880,9,1.2,0.5902,-,earthquake
693,66.2335,-158.861,55.2358,1550944375,1923,4,1.2,0.2998,nT,teleseismic signal
405,66.2914,-157.2005,10.2615,1550200700,1570,13,1.21,0.5073,-,earthquake
427,66.2441,-157.1986,11.3837,1550240114,1597,7,1.21,0.2812,-,earthquake
690,66.3315,-157.2148,7.6323,1550939889,1920,9,1.21,0.6759,-,earthquake
756,66.3264,-157.2244,8.7435,1551170671,2005,5,1.21,0.3082,-,earthquake
796,66.3136,-157.1684,6.5566,1551263467,2055,11,1.21,0.503,-,earthquake
531,66.3176,-157.2046,8.0205,1550493918,1724,11,1.22,0.5884,-,earthquake
676,66.3265,-157.2216,10.8233,1550904176,1905,12,1.22,0.5361,-,earthquake
92,66.4845,-159.235,60.7703,1549383991,1163,4,1.23,0.7902,n,regional signal with P's associated on S's
132,66.151,-158.3548,10.7824,1549589490,1210,12,1.23,0.6851,-,earthquake
141,66.1623,-158.3488,10.1268,1549623690,1222,13,1.23,0.6467,-,"earthquake, follows similar by ~1 minute"
253,66.3203,-157.225,15.7353,1549829028,1372,9,1.23,0.6909,-,earthquake
423,66.3058,-157.2139,0.0053,1550234682,1592,13,1.23,0.6349,-,earthquake
263,66.3372,-157.2118,7.8859,1549838560,1390,9,1.24,0.5951,-,earthquake
545,66.3312,-157.223,9.0657,1550560515,1745,8,1.24,0.654,-,earthquake
639,66.3102,-157.2126,10.2182,1550822210,1858,12,1.24,0.7518,-,earthquake
658,66.2549,-157.3247,8.6646,1550843365,1883,7,1.24,0.8007,-,earthquake
422,66.3116,-157.2164,0.0351,1550234585,1591,12,1.25,0.515,-,earthquake
443,66.3258,-157.2163,9.8622,1550258938,1615,11,1.25,0.7243,-,earthquake
536,66.2865,-157.3781,8.3227,1550513609,1731,11,1.25,0.85,-,earthquake
694,66.3731,-157.2194,7.8843,1550949220,1924,6,1.25,0.7748,-,earthquake
794,66.3253,-157.2147,8.376,1551260591,2053,8,1.25,0.6298,-,earthquake
69,66.3273,-157.709,41.7832,1549303096,1136,4,1.26,0.1879,D,same teleseismic signal as evid #1135
778,66.269,-157.1824,12.4716,1551224716,2033,10,1.26,0.9066,-,earthquake
136,66.1506,-158.2702,6.2728,1549606881,1216,14,1.27,0.5525,-,earthquake
270,66.311,-157.1915,7.8025,1549840314,1401,9,1.27,0.6794,-,earthquake
583,66.2946,-157.2026,9.4309,1550631861,1791,14,1.27,0.5677,-,earthquake
663,66.3436,-157.2266,9.1215,1550864472,1888,7,1.27,0.3516,-,earthquake
697,66.3106,-157.1692,10.361,1550956153,1928,12,1.27,0.4726,-,earthquake
765,66.2963,-157.1747,9.9217,1551196245,2016,11,1.27,0.4165,-,earthquake
799,66.3008,-157.174,7.7173,1551266110,2061,8,1.27,0.2592,-,earthquake
642,66.2318,-157.3835,25.7514,1550823954,1862,9,1.28,0.4393,-,earthquake
680,66.316,-157.1887,6.443,1550912047,1909,7,1.28,0.6465,-,"earthquake (proceeds similar, undetected event)"
805,66.3078,-157.1945,10.9968,1551279103,2070,12,1.28,0.634,-,earthquake
213,66.3001,-157.2023,10.0206,1549809725,1311,14,1.29,0.5287,-,earthquake
389,66.3033,-157.2081,9.5734,1550135399,1550,7,1.29,0.4616,-,earthquake
819,66.3148,-157.2163,9.2727,1551319933,2089,9,1.29,0.5683,-,earthquake
171,66.3193,-157.2098,6.852,1549710061,1257,10,1.3,0.8031,-,earthquake
256,66.3314,-157.2147,10.0641,1549831612,1379,8,1.3,0.6274,-,earthquake
358,65.913,-158.9418,22.7104,1550052555,1515,4,1.3,0.465,D,same as MATCHED evid #1514
367,66.3194,-157.1979,8.3616,1550067917,1525,9,1.3,0.5464,-,earthquake
644,66.2945,-157.1975,9.7506,1550826231,1864,12,1.3,0.5937,-,earthquake
673,66.3214,-157.1939,6.609,1550901576,1900,11,1.3,0.6063,-,earthquake
758,66.3069,-157.1891,7.2334,1551178571,2008,8,1.3,0.3507,-,earthquake
273,66.3183,-157.208,10.0115,1549843470,1404,9,1.31,0.9006,-,earthquake
296,66.3087,-157.2074,1.0689,1549894968,1433,13,1.31,0.7101,-,earthquake
672,66.3498,-157.2264,9.6182,1550900310,1899,7,1.31,0.6417,-,earthquake
782,66.303,-157.1782,10.2756,1551231603,2038,9,1.31,0.2062,-,earthquake
803,66.295,-157.1835,1.28,1551276674,2067,11,1.31,0.643,-,earthquake
814,66.2945,-157.1709,7.6519,1551301799,2082,10,1.31,0.2318,-,earthquake
222,66.3832,-157.2868,8.0471,1549813547,1322,11,1.32,0.8548,-,earthquake
661,66.2926,-157.2004,10.1603,1550860364,1886,13,1.32,0.5488,-,earthquake
788,66.2586,-157.2373,11.757,1551240495,2046,10,1.32,0.4519,-,earthquake
218,66.2803,-157.2351,11.4219,1549811775,1318,12,1.33,0.8582,-,earthquake
280,66.2924,-157.2098,9.1609,1549856942,1413,12,1.33,0.5732,-,earthquake
322,66.3366,-157.202,7.3825,1549961340,1471,7,1.33,0.3753,-,earthquake
527,66.2558,-157.2368,11.5957,1550472204,1720,7,1.33,1.1033,-,earthquake
726,66.4718,-158.2405,28.2971,1551115225,1962,5,1.33,1.1223,-,same as MATCHED evid #1961
772,66.3283,-157.2051,10.8153,1551208542,2026,11,1.33,0.6278,-,earthquake
804,66.3165,-157.219,4.7473,1551277366,2069,6,1.33,0.2689,-,earthquake
19,65.8867,-159.35,19.9701,1549098986,1080,4,1.34,0.696,nT,teleseismic
203,66.3081,-157.2259,11.4682,1549806774,1295,12,1.34,0.5592,-,earthquake
372,66.3081,-157.2123,0.0077,1550078541,1531,10,1.34,0.6409,-,earthquake
381,65.9858,-156.4918,18.9634,1550113377,1540,5,1.34,0.5356,-,earthquake
431,66.2957,-157.1818,7.8065,1550248020,1601,13,1.34,0.6912,-,"earthquake (proceeds similar, unlocated event — lots of detections)"
481,66.3003,-157.2143,0.4744,1550335826,1668,12,1.34,0.7045,-,earthquake
489,66.2379,-157.1995,9.1963,1550358217,1678,9,1.34,0.4795,-,earthquake
717,66.3179,-157.2139,0.1491,1551083835,1952,11,1.34,0.6237,-,earthquake
783,66.2402,-157.2272,8.7777,1551231946,2039,10,1.34,0.5424,-,earthquake
823,66.3203,-157.2171,8.8064,1551356105,2095,9,1.34,0.5503,-,earthquake
306,66.2863,-157.2083,0.0166,1549918531,1448,13,1.35,0.896,-,earthquake
310,66.3136,-157.2155,10.8789,1549930717,1454,11,1.35,0.5114,-,earthquake
722,66.2949,-157.1451,9.3072,1551106277,1958,12,1.35,0.859,-,"earthquake (smaller event in coda, undetected/unlocated)"
797,66.2953,-157.1818,8.7249,1551264024,2057,12,1.35,0.5459,-,earthquake
825,66.3134,-157.2065,7.6572,1551363839,2098,9,1.35,0.759,-,earthquake
418,66.2978,-157.2103,0.0667,1550229407,1586,12,1.36,0.7135,-,earthquake
434,66.3228,-157.2173,10.6751,1550248654,1605,12,1.36,0.7768,-,earthquake
763,66.3003,-157.1756,9.6724,1551194862,2013,10,1.36,0.4316,-,earthquake
828,66.2303,-157.1931,1.6862,1551384143,2102,7,1.36,0.6488,-,earthquake
242,66.2894,-157.2565,12.2245,1549822393,1350,10,1.37,0.7952,-,earthquake
292,66.3103,-157.2079,10.5013,1549888842,1429,12,1.37,0.6558,-,earthquake (preceeds larger event)
455,66.306,-157.2094,0.1548,1550273171,1633,11,1.37,0.4567,-,earthquake
540,66.2933,-157.2073,9.4803,1550531115,1736,12,1.37,0.5271,-,earthquake
659,66.2736,-157.1913,0.6277,1550849904,1884,14,1.37,0.8197,-,earthquake
107,66.2482,-159.4338,7.6399,1549452097,1181,6,1.38,0.9979,n,mostlikely a diluted part of telesismic signal (or regional event)
172,66.1764,-158.3304,4.0666,1549712321,1258,14,1.38,0.7254,-,earthquake
217,66.2392,-157.2348,11.3647,1549810811,1316,6,1.38,0.2221,-,earthquake
415,66.2878,-157.1969,9.2585,1550214564,1581,11,1.38,0.5751,-,earthquake (proceeds larger event)
812,66.312,-157.2018,8.9427,1551295061,2079,11,1.38,0.6616,-,earthquake
46,66.3436,-158.4279,89.265,1549244819,1111,4,1.39,0.6882,n,"noise, possibly small amplitude teleseismic signal"
225,66.349,-157.2162,9.1859,1549814407,1327,8,1.39,0.4086,-,"earthquake, proceeds larger event"
316,66.2457,-157.2545,10.2749,1549942112,1464,6,1.39,0.5137,-,earthquake (directly proceeds larger event)
410,66.3537,-157.2346,10.0715,1550205510,1575,8,1.39,0.9163,-,earthquake
466,66.3046,-157.2094,10.9914,1550289331,1651,10,1.39,0.7735,-,earthquake
757,66.2959,-157.1779,8.0622,1551175343,2006,15,1.39,0.6043,-,earthquake
86,66.7544,-158.0686,35.4075,1549361129,1153,6,1.4,0.7602,nT,teleseimic signal
275,66.3048,-157.2016,9.2576,1549847368,1406,13,1.4,0.5623,-,earthquake
442,66.2905,-157.9607,0.1124,1550257140,1614,4,1.4,0.8121,-,earthquake
28,66.5041,-157.3802,0.0073,1549110706,1090,8,1.41,1.5737,-,"earthquake, missing emergent P's on many stations"
675,66.306,-157.2122,0.0226,1550903414,1903,13,1.41,0.6258,-,earthquake
712,66.3206,-157.2167,0.0934,1551062079,1945,12,1.41,0.651,-,earthquake
760,66.2948,-157.1845,8.8505,1551184398,2010,13,1.41,0.591,-,earthquake
199,66.2981,-157.1971,3.9031,1549806382,1288,11,1.42,0.6722,-,earthquake  |  START OF PURCELL MOUNTAIN SWARM ACTIVITY
264,66.3279,-157.216,9.6466,1549838703,1391,12,1.42,0.7281,-,"earthquake, proceeds larger event"
288,66.3153,-157.2085,8.0744,1549879008,1423,12,1.42,0.7058,-,earthquake
291,66.3114,-157.1784,7.9403,1549886468,1427,15,1.42,0.6971,-,earthquake
248,66.3127,-157.2167,8.713,1549823333,1362,8,1.43,0.7129,-,earthquake
317,66.3048,-157.1783,7.7238,1549942148,1463,11,1.43,0.4544,-,earthquake (larger event)
678,65.9351,-159.097,5.1146,1550905011,1907,4,1.43,0.4221,D,same as MATCHED evid #1906
37,66.7584,-159.349,10.5317,1549215115,1101,5,1.44,0.8951,n,"noise, possibly small amplitude teleseismic signal"
53,66.0054,-158.708,16.5889,1549277446,1118,8,1.44,0.6718,nT,teleseismic
61,66.002,-158.7403,12.8378,1549294253,1128,7,1.44,0.7054,nT,teleseismic
80,66.2098,-158.4112,0.2395,1549323812,1147,10,1.44,0.7054,-,real earthquake
295,66.2905,-157.1976,9.388,1549891460,1432,15,1.44,0.5409,-,earthquake
326,66.3104,-157.1817,0.1348,1549973747,1476,8,1.44,0.292,-,"earthquake (proceeds similar, undetected event)"
435,66.3153,-157.1994,7.234,1550249101,1606,12,1.44,0.6168,-,earthquake
447,66.3288,-157.2204,14.0473,1550265245,1622,10,1.44,0.6139,-,earthquake
724,66.3242,-157.2057,8.3709,1551110978,1960,10,1.44,0.6244,-,earthquake
289,66.1597,-158.2668,6.3227,1549882370,1424,16,1.45,0.3824,-,earthquake
454,66.2982,-157.2053,0.1159,1550272985,1632,13,1.45,0.507,-,earthquake
486,66.3082,-157.2126,9.3376,1550356135,1675,14,1.45,0.8424,-,earthquake
76,66.6965,-157.5545,0.7423,1549314984,1143,6,1.46,0.4896,nT,"small, teleseismic noise"
743,66.3188,-157.2256,19.282,1551156376,1984,10,1.46,0.3208,-,earthquake
91,66.2602,-157.1776,36.224,1549383942,1159,7,1.47,0.5029,D,same as MATCHED evid #1160
379,65.9442,-158.8623,24.7179,1550109223,1538,4,1.47,0.5682,nT,teleseismic signal
98,66.0128,-158.2105,32.0095,1549409378,1170,4,1.48,0.14,D,same as MATCHED evid #1169
286,66.2995,-157.2095,9.685,1549874702,1420,9,1.48,0.3506,-,earthquake
308,66.3337,-157.2281,10.8549,1549928533,1451,9,1.48,0.3744,-,earthquake
589,66.3226,-157.2181,8.8971,1550648666,1798,10,1.48,0.7263,-,earthquake
577,66.2403,-157.2218,10.1167,1550621518,1785,9,1.49,0.9718,-,earthquake
761,66.2891,-157.1899,0.0091,1551191799,2011,15,1.49,0.65,-,earthquake
293,66.2977,-157.1987,1.3985,1549889061,1430,15,1.5,0.4745,-,earthquake (the lerger event)
